Metazalmoxis ferruginea
Miconia abscondita
Microgoura meeki
Mirogrex hulensis
Moho apicalis
Moho bishopi
Moho braccatus
Moho nobilis
Moxostoma lacerum
Mundia elpenor
Myadestes myadestinus
Myadestes woahensis
Myiagra freycineti
Myosotis laingii
Myrcia skeldingii
Namibcypris costata
Nancibella quintalia
Nannococcyx psix
Nannophrys guentheri
Necropsar rodericanus
Necropsittacus rodricanus
Neduba extincta
Neocnemis occidentalis
Neomacounia nitida
Neomonachus tropicalis
Neoplanorbis carinatus
Neoplanorbis smithi
Neoplanorbis tantillus
Neoplanorbis umbilicatus
Neotoma bryanti ssp. anthonyi
Neotoma bryanti ssp. bunkeri
Neotoma bryanti ssp. martinensis
Neovison macrodon
Nesillas aldabrana
Nesiota elliptica
Nesoenas cicur
Nesoenas duboisi
Nesoenas rodericanus
Nesophontes edithae
Nesophontes hypomicrus
Nesophontes major
Nesophontes micrus
Nesophontes paramicrus
Nesophontes zamicrus
Nesopupa turtoni
Nesoryzomys darwini
Nesoryzomys indefessus
Nestor productus
Newcombia philippiana
Noronhomys vespuccii
Notomys amplus
Notomys longicaudatus
Notomys macrotis
Notomys mordax
Notomys robustus
Notropis amecae
Notropis aulidion
Notropis orca
Notropis saladonis
Noturus trautmani
Nyctanassa carcinocatactes
Nycticorax duboisi
Nycticorax mauritianus
Nycticorax megacephalus
Ochrosia brownii
Ochrosia fatuhivensis
Ochrosia tahitensis
Oeceoclades seychellarum
Oeobia sp. nov.
Ohridohauffenia drimica
Oldenlandia adscensionis
Oleacina guadeloupensis
Oligoryzomys victus
Omphalotropis plicosa
Oncorhynchus nerka COLUMBIA RIVER: Payette R
Oncorhynchus nerka COLUMBIA RIVER: Suttle Lk/Deschutes R
Oncorhynchus nerka COLUMBIA RIVER: Upper Headwater/Arrow Whatsan Lk
Oncorhynchus nerka COLUMBIA RIVER: Wallowa Lk
Oncorhynchus nerka COLUMBIA RIVER: Yakima R
Onychogalea lunata
Oodemas laysanensis
Ormosia howii
Ornithogalum visianicum
Orthomorpha crinita
Oryzomys antillarum
Oryzomys nelsoni
Otophora unilocularis
Ourebia ourebi ssp. kenyae
Pachnodus curiosus
Pachnodus ladiguensis
