Partula navigatoria
Partula planilabrum
Partula producta
Partula protracta
Partula raiatensis
Partula remota
Partula sagitta
Partula salifana
Partula suturalis suturalis
Partula taeniata taeniata
Partula turgida
Partula umbilicata
Partulina crassa
Partulina montagui
Pausinystalia brachythyrsum
Pelusios seychellensis
Pennatomys nivalis
Pentagenia robusta
Perameles eremiana
Perdicella fulgurans
Perdicella maniensis
Perdicella zebra
Perdicella zebrina
Peromona erinacea
Peromyscus pembertoni
Pezophaps solitaria
Phalacrocorax perspicillatus
Phelsuma gigas
Pholidoscelis cineraceus
Phrynomedusa fimbriata
Phyllococcus oahuensis
Physella microstriata
Pinguinus impennis
Pipilo naufragus
Pipistrellus murrayi
Placostylus bivaricosus etheridgei
Placostylus cuniculinsulae
Plagiodontia ipnaeum
Planorbella multivolvis
Platytropius siamensis
Plectostoma sciaphilum
Pleorotus braueri
Plethodon ainsworthi
Pleurobema altum
Pleurobema avellanum
Pleurobema bournianum
Pleurobema flavidulum
Pleurobema hagleri
Pleurobema johannis
Pleurobema murrayense
Pleurobema nucleopsis
Pleurobema perovatum
Pleurobema troschelianum
Pleurobema verum
Pleurodonte desidens
Pluchea glutinosa
Podiceps andinus
Podilymbus gigas
Pogonichthys ciscoides
Pomarea fluxa
Pomarea nukuhivae
Pomarea pomarea
Poodytes rufescens
Porphyrio albus
Porphyrio caerulescens
Porphyrio kukwiedei
Porphyrio mantelli
Porphyrio paepae
Posticobia norfolkensis
Potorous platyops
Pouteria stenophylla
Pradosia argentea
Pradosia glaziovii
Pradosia mutisii
Priapella bonita
Procambarus angustatus
Prolagus sardus
Prosobonia cancellata
Prosobonia ellisi
Prosobonia leucoptera
Prototroctes oxyrhynchus
Psephotellus pulcherrimus
Pseudamnicola barratei
Pseudamnicola desertorum
Pseudamnicola doumeti
Pseudamnicola globulina
Pseudamnicola latasteana
Pseudamnicola oudrefica
Pseudamnicola ragia
Pseudamnicola singularis
Pseudobactricia ridleyi
Pseudocampylaea loweii
Pseudohelenoconcha spurca
Pseudomys auritus
Pseudomys glaucus
Pseudomys gouldii
Pseudophilautus adspersus
Pseudophilautus dimbullae
Pseudophilautus eximius
Pseudophilautus extirpo
Pseudophilautus halyi
Pseudophilautus hypomelas
Pseudophilautus leucorhinus
Pseudophilautus maia
Pseudophilautus malcolmsmithi
Pseudophilautus nanus
Pseudophilautus nasutus
Pseudophilautus oxyrhynchus
Pseudophilautus pardus
Pseudophilautus rugatus
Pseudophilautus stellatus
Pseudophilautus temporalis
Pseudophilautus variabilis
Pseudophilautus zal
Pseudophilautus zimmeri
Pseudophoxinus handlirschi
Psiadia schweinfurthii
Psidium dumetorum
Psittacara labati
Psittacula exsul
Psittacula wardi
Pterodroma rupinarum
Pteropus brunneus
Pteropus pilosus
Pteropus subniger
Pteropus tokudae
Ptilinopus mercierii
Ptychochromis onilahy
Pupilla obliquicosta
Pyrgulopsis nevadensis
Pyrocephalus dubius
Quintalia flosculus
Quintalia stoddartii
Quiscalus palustris
Radula visianica
Raphus cucullatus
Rattus macleari
Rattus nativitatis
Rauvolfia nukuhivensis
Rhachis comorensis
Rhachis sanguineus
Rhantus novacaledoniae
Rhantus orbignyi
Rhantus papuanus
Rheobatrachus silus
Rheobatrachus vitellinus
Rhinichthys deaconi
Rhodacanthis flaviceps
Rhodacanthis palmeri
Rhyacophila amabilis
Rhyncogonus bryani
Romankenkius pedderensis
Romanogobio antipai
Rucervus schomburgki
Ryania speciosa mutisii
Salmo pallaryi
Salvelinus agassizii
Salvelinus neocomensis
Salvelinus profundus
Samoana inflata
Sanicula kauaiensis
Santalum fernandezianum
Sceloglaux albifacies
Scelotes guentheri
Schiedea amplexicaulis
Scotorythra megalophylla
Scotorythra nesiotes
Shorea cuspidata
Sicyos villosus
Siettitia balsetensis
Sinployea canalis
Sinployea decorticata
Sinployea harveyensis
Sinployea otareae
Sinployea planospira
Sinployea proxima
Sinployea rudis
Sinployea tenuicostata
Sinployea youngi
Sitalcicus gardineri
Solenodon marcanoi
Somatogyrus alcoviensis
Somatogyrus amnicoloides
Somatogyrus crassilabris
Somatogyrus wheeleri
Spirobolellus praslinus
Sporobolus durus
Stachytarpheta fallax
Stagnicola pilsbryi
Stellaria elatinoides
Stenocarpus dumbeensis
Sterculia khasiana
Stipax triangulifer
Stonemyia volutina
Streblorrhiza speciosa
Stygobromus lucifugus
Stypodon signifer
Sus bucculentus
Syncaris pasadenae
Tachybaptus rufolavatus
Tachygyia microlepis
Taipidon anceyana
Taipidon marquesana
Taipidon octolamellata
Taudactylus diurnus
Telestes ukliva
Tetradactylus eastwoodae
Tetramolopium consanguineum subsp. consanguineum
Thaumatodon multilamellata
Thomasettia seychellana
Threskiornis solitarius
